pair,strategy,type,entry_time,entry_price,exit_time,exit_price,size,leverage,confidence,pnl,pnl_amount
SOL/USD,arima,sell,375,125.45,376,124.6,655.7030637334814,0,0,0.1355121562375462,88.85573601808925
SOL/USD,arima,sell,377,124.52,382,126.0,663.454644149033,0,0,-0.2377128172181182,-157.71167255711075
SOL/USD,arima,buy,383,126.55,398,126.43,647.8271481565322,0,0,-0.018964836033186938,-12.285935642635735
SOL/USD,arima,sell,399,126.86,414,126.31,645.8567070521725,0,0,0.08670975878921601,56.00207928089122
SOL/USD,arima,buy,415,127.83,425,119.89,642.7082075706967,0,0,-1.24227489634671,-798.4202719410671
SOL/USD,arima,sell,426,119.51,449,115.95,660.7288853317538,0,0,0.5957660446824538,393.63983462154545
SOL/USD,arima,buy,450,114.85,463,117.47,701.2474394817945,0,0,0.45624727905964385,319.942236211111
SOL/USD,arima,sell,464,118.62,466,123.04,689.7490926431337,0,0,-0.7452368909121567,-514.0264693108502
SOL/USD,arima,buy,467,121.66,481,121.11,655.6134431373099,0,0,-0.09041591320072287,-59.27788816793007
SOL/USD,arima,sell,482,121.81,498,120.33,652.8595348445398,0,0,0.2430013956161241,158.64577810851677
SOL/USD,arima,buy,499,119.96,509,116.34,668.2177646869579,0,0,-0.6035345115038331,-403.29248218852644
SOL/USD,arima,sell,510,114.61,537,103.84,685.3349020425212,0,0,1.8794171538260178,1288.0301710143879
SOL/USD,arima,buy,538,107.61,562,105.11,777.7934560649653,0,0,-0.46464083263637207,-361.39459904514695
SOL/USD,arima,sell,563,105.6,578,106.67,778.9088580584311,0,0,-0.20265151515151655,-157.8470602504786
SOL/USD,arima,buy,579,106.78,585,108.17,764.3883421049671,0,0,0.2603483798464133,199.0072664405141
SOL/USD,arima,buy,586,119.31,603,114.39,690.7838088653964,0,0,-0.8247422680412374,-569.7186052498116
SOL/USD,arima,sell,604,113.95,620,115.33,703.2781203574481,0,0,-0.24221149627029318,-170.34204582593682
SOL/USD,arima,buy,621,115.42,,0.0,688.4177233705377,0,0,0.0,0.0
