timestamp,open_1d,high_1d,low_1d,close_1d,volume_1d,open_4h,high_4h,low_4h,close_4h,volume_4h,open_1h,high_1h,low_1h,close_1h,volume_1h
2024-04-15 00:00:00,3156.0,3278.53,3026.0,3101.38,27281.82597592,,,,,,,,,,
2024-04-16 00:00:00,3101.38,3127.57,2987.26,3084.92,20070.58524244,,,,,,,,,,
2024-04-17 00:00:00,3084.92,3121.54,2914.34,2985.4,20766.74960597,,,,,,,,,,
2024-04-18 00:00:00,2985.4,3094.49,2955.19,3064.51,12129.43746245,,,,,,,,,,
2024-04-19 00:00:00,3064.51,3125.46,2867.0,3058.52,17117.99544752,,,,,,,,,,
2024-04-20 00:00:00,3058.52,3169.99,3021.63,3157.67,5455.32879113,,,,,,,,,,
2024-04-21 00:00:00,3157.81,3197.14,3120.0,3148.05,7615.20164802,,,,,,,,,,
2024-04-22 00:00:00,3148.31,3234.55,3130.05,3202.0,11858.88467609,,,,,,,,,,
2024-04-23 00:00:00,3202.0,3263.55,3154.0,3220.02,14787.82593007,,,,,,,,,,
2024-04-24 00:00:00,3220.0,3291.64,3105.75,3138.84,10404.8589817,,,,,,,,,,
2024-04-25 00:00:00,3139.11,3190.86,3074.39,3155.68,9692.8760516,,,,,,,,,,
2024-04-26 00:00:00,3155.63,3166.13,3102.55,3129.96,9823.74431079,,,,,,,,,,
2024-04-27 00:00:00,3129.96,3279.31,3070.34,3252.62,9198.94010367,,,,,,,,,,
2024-04-28 00:00:00,3252.63,3355.9,3250.0,3262.02,7973.17094111,,,,,,,,,,
2024-04-29 00:00:00,3262.03,3285.23,3113.7,3216.18,12463.30004485,,,,,,,,,,
2024-04-30 00:00:00,3216.09,3247.51,2916.57,3010.62,22271.46579808,,,,,,,,,,
2024-05-01 00:00:00,3010.62,3020.14,2813.8,2970.02,24577.66018931,,,,,,,,,,
2024-05-02 00:00:00,2970.01,3014.8,2892.78,2987.85,12692.40264674,,,,,,,,,,
2024-05-03 00:00:00,2987.86,3126.36,2958.64,3104.77,18702.10634519,,,,,,,,,,
2024-05-04 00:00:00,3105.13,3165.24,3093.28,3117.78,5968.44944914,,,,,,,,,,
2024-05-05 00:00:00,3118.06,3168.98,3077.0,3137.54,5521.06994963,,,,,,,,,,
2024-05-06 00:00:00,3137.54,3217.66,3046.88,3063.02,10961.81018,,,,,,,,,,
2024-05-07 00:00:00,3063.07,3127.99,3002.72,3005.14,8263.70870168,,,,,,,,,,
2024-05-08 00:00:00,3005.14,3036.42,2936.51,2972.86,11830.76973611,,,,,,,,,,
2024-05-09 00:00:00,2972.87,3056.24,2951.0,3036.25,5743.88656896,,,,,,,,,,
2024-05-10 00:00:00,3036.25,3051.35,2880.05,2909.56,11961.91200156,,,,,,,,,,
2024-05-11 00:00:00,2909.56,2941.91,2886.85,2910.11,4898.98753681,,,,,,,,,,
2024-05-12 00:00:00,2910.11,2951.99,2901.78,2929.17,5748.03558256,,,,,,,,,,
2024-05-13 00:00:00,2929.18,2992.0,2864.01,2948.99,15223.00830421,,,,,,,,,,
2024-05-14 00:00:00,2948.99,2957.51,2860.08,2881.49,12259.36076064,,,,,,,,,,
2024-05-15 00:00:00,2881.49,3039.95,2864.75,3033.23,11832.26237316,,,,,,,,,,
2024-05-16 00:00:00,3033.21,3040.93,2925.59,2944.48,17722.57118167,,,,,,,,,,
2024-05-17 00:00:00,2944.48,3120.0,2934.12,3093.54,15252.95913425,,,,,,,,,,
2024-05-18 00:00:00,3093.54,3144.67,3087.13,3121.37,5085.44001575,,,,,,,,,,
2024-05-19 00:00:00,3121.37,3134.0,3055.7,3071.79,4127.58116941,,,,,,,,,,
2024-05-20 00:00:00,3071.79,3690.83,3050.0,3661.3,42651.59066036,,,,,,,,,,
2024-05-21 00:00:00,3661.31,3838.0,3628.01,3789.23,42727.99545004,,,,,,,,,,
2024-05-22 00:00:00,3789.32,3810.0,3655.0,3736.82,31332.13453289,,,,,,,,,,
2024-05-23 00:00:00,3736.82,3943.11,3530.0,3780.86,67176.72972467,,,,,,,,,,
2024-05-24 00:00:00,3780.87,3826.16,3630.87,3726.37,24414.53014335,,,,,,,,,,
2024-05-25 00:00:00,3726.37,3774.39,3707.98,3749.32,5102.14510268,,,,,,,,,,
2024-05-26 00:00:00,3749.32,3879.9,3732.5,3824.85,19213.31701914,,,,,,,,,,
2024-05-27 00:00:00,3824.85,3973.73,3824.25,3892.1,20148.77990832,,,,,,,,,,
2024-05-28 00:00:00,3892.1,3924.15,3771.37,3839.98,14779.32407273,,,,,,,,,,
2024-05-29 00:00:00,3839.99,3879.9,3742.21,3762.39,11221.44033831,,,,,,,,,,
