timestamp,open,high,low,close,vwap,volume,count
2024-09-29,7.592,7.619,7.357,7.416,7.46,51000.86057595,1035
2024-09-30,7.474,7.741,7.284,7.4,7.521,103486.9989285,1790
2024-10-01,7.388,7.849,6.782,6.868,7.321,103942.34400314,2724
2024-10-02,6.865,7.286,6.619,6.682,6.926,64869.66584106,1556
2024-10-03,6.678,6.783,6.39,6.561,6.553,24131.68127648,610
2024-10-04,6.572,6.811,6.534,6.716,6.685,120045.67244233,784
2024-10-05,6.711,6.887,6.647,6.831,6.813,30025.19078999,431
2024-10-06,6.801,7.082,6.782,7.081,6.922,23832.4086163,516
2024-10-07,7.082,7.459,7.082,7.226,7.323,79047.20950359,1838
2024-10-08,7.235,7.293,6.995,7.173,7.138,26584.34678143,804
2024-10-09,7.183,7.375,7.061,7.293,7.196,31612.73704692,1042
2024-10-10,7.281,8.457,7.214,8.126,7.976,471564.08071757,9295
2024-10-11,8.12,8.226,7.836,7.879,8.03,151450.26945697,3529
2024-10-12,7.876,8.301,7.752,8.127,8.016,113388.0379593,2674
2024-10-13,8.122,8.136,7.567,7.691,7.768,88284.00187737,2337
2024-10-14,7.676,8.302,7.604,8.131,8.022,64909.37775139,3906
2024-10-15,8.126,8.294,7.683,7.843,7.935,86147.71539727,4107
2024-10-16,7.834,8.0,7.561,7.576,7.766,74290.78108821,2332
2024-10-17,7.579,7.66,7.194,7.338,7.412,55846.2016784,1489
2024-10-18,7.352,7.507,7.329,7.464,7.434,67083.54669996,1110
2024-10-19,7.463,7.587,7.31,7.323,7.418,17330.44156739,612
2024-10-20,7.34,7.77,7.294,7.753,7.577,69634.80188987,1728
2024-10-21,7.757,7.958,7.415,7.786,7.717,77649.77242713,1759
2024-10-22,7.812,8.68,7.704,7.991,8.159,250589.59105097,5211
2024-10-23,8.008,8.013,7.487,7.852,7.705,58085.69988264,1688
2024-10-24,7.875,8.2,7.843,8.036,8.056,86152.25370495,1816
2024-10-25,8.04,8.182,7.178,7.436,7.869,96770.32569779,3506
2024-10-26,7.399,7.762,7.284,7.435,7.517,71504.99413509,2191
2024-10-27,7.406,7.79,7.367,7.529,7.534,67500.73270577,1911
2024-10-28,7.515,7.782,7.303,7.778,7.539,58743.98789459,1486
2024-10-29,7.782,8.003,7.757,7.925,7.884,54359.65513222,1698
2024-10-30,7.941,8.318,7.831,8.114,8.116,51685.53161891,3047
2024-10-31,8.114,8.171,7.485,7.625,7.753,80750.41578673,2006
2024-11-01,7.61,8.03,7.521,7.553,7.773,107179.00688514,3261
2024-11-02,7.553,7.756,7.317,7.388,7.428,41020.48624236,1014
2024-11-03,7.388,7.423,6.838,7.045,7.106,56448.18495798,2169
2024-11-04,7.007,7.128,6.621,6.778,6.839,41936.84500007,1831
2024-11-05,6.775,7.266,6.773,7.197,7.039,39597.57880384,1166
2024-11-06,7.212,9.697,7.212,9.292,8.811,597572.72982598,15173
2024-11-07,9.327,9.543,8.828,8.902,9.154,172910.97569809,4884
2024-11-08,8.907,9.045,8.535,8.853,8.833,133726.02697555,4135
2024-11-09,8.843,9.333,8.684,9.234,8.972,210041.50591991,3940
2024-11-10,9.249,9.626,8.699,9.231,9.26,379649.75429879,7873
2024-11-11,9.207,9.4,8.776,9.349,9.099,245095.20771578,5194
2024-11-12,9.346,10.813,8.644,8.955,9.457,458446.11265335,14663
2024-11-13,8.958,9.166,8.26,8.624,8.721,242756.17435492,6706
2024-11-14,8.62,8.83,8.063,8.183,8.459,208237.97432445,5163
2024-11-15,8.185,8.595,7.87,8.568,8.153,156810.23231519,3845
2024-11-16,8.549,9.244,8.514,9.074,8.979,201348.28828263,5884
2024-11-17,9.077,9.335,8.588,8.74,8.917,143015.35154859,4385
2024-11-18,8.752,9.387,8.727,9.249,9.121,260043.93643942,7259
2024-11-19,9.25,9.637,9.127,9.413,9.364,154293.1828724,4093
2024-11-20,9.406,9.406,8.59,8.822,9.021,131914.6302914,3096
2024-11-21,8.804,9.688,8.507,9.267,9.237,288487.42087191,8027
2024-11-22,9.247,9.966,9.149,9.946,9.468,190023.94051267,4964
2024-11-23,9.94,11.349,9.762,10.736,10.625,429205.79536819,13631
2024-11-24,10.739,11.382,10.126,10.9,10.785,289805.58618477,9072
2024-11-25,10.846,12.409,10.541,11.113,11.665,517511.253858,13913
2024-11-26,11.119,11.774,10.49,10.884,11.134,284343.81677871,10085
2024-11-27,10.857,13.798,10.725,13.545,12.745,457618.67963579,16170
2024-11-28,13.535,13.535,12.405,12.774,12.835,279735.73359777,8426
2024-11-29,12.765,12.974,12.312,12.578,12.687,162327.05758363,5688
2024-11-30,12.578,13.389,12.53,12.786,12.932,164481.10808209,8245
2024-12-01,12.77,13.335,12.607,13.06,13.046,155960.97743982,6968
2024-12-02,13.064,14.56,12.441,13.997,13.68,495339.16741888,19284
2024-12-03,13.998,15.337,13.136,15.126,14.271,497265.04321578,19095
2024-12-04,15.127,16.514,14.667,15.684,15.607,382146.48302446,15958
2024-12-05,15.665,15.926,14.551,15.067,15.23,214557.98734484,9658
2024-12-06,15.043,18.45,15.043,17.58,16.948,460104.04484019,18590
2024-12-07,17.586,18.615,17.25,18.05,17.772,281555.30229896,11402
2024-12-08,18.101,19.454,17.539,18.597,18.496,271191.45386116,13130
2024-12-09,18.614,18.845,13.899,16.085,16.615,342625.93033516,14043
2024-12-10,16.027,16.675,14.048,15.248,15.331,218616.1057039,12365
2024-12-11,15.251,17.222,14.739,17.161,16.171,204365.97246972,10573
2024-12-12,17.159,18.969,16.92,17.698,18.266,225339.08659718,15227
2024-12-13,17.703,18.165,16.859,17.492,17.545,103047.45746822,6950
2024-12-14,17.371,17.763,16.49,16.757,16.875,131041.09481139,6951
2024-12-15,16.745,17.204,16.222,17.056,16.714,85787.20081908,5341
2024-12-16,17.068,17.448,16.233,16.256,16.707,106782.50345301,5040
2024-12-17,16.235,16.545,15.616,16.285,16.063,104651.62629117,5200
2024-12-18,16.236,16.716,14.602,14.808,15.626,132148.23800032,7917
2024-12-19,14.806,15.387,12.65,12.731,13.948,309269.68158021,13506
2024-12-20,12.716,13.821,11.204,13.681,12.352,552669.59014618,21403
2024-12-21,13.651,14.758,13.027,13.404,13.855,142720.10387203,7815
2024-12-22,13.373,14.273,13.244,13.872,13.805,127152.42366656,9171
2024-12-23,13.873,14.599,13.227,14.263,13.815,188558.8188386,10223
2024-12-24,14.245,14.74,13.742,14.58,14.23,83645.24803959,6067
2024-12-25,14.572,14.572,13.668,13.893,14.015,62981.87118227,4655
2024-12-26,13.909,14.065,12.747,13.221,13.154,108877.943848,3112
2024-12-27,13.25,14.231,13.159,13.312,13.737,334482.54317747,8338
2024-12-28,13.327,13.773,13.013,13.563,13.289,68453.60961914,4194
