timestamp,target_direction_1,target_direction_thresh_1,target_pct_change_1,target_vol_adj_1,target_direction_2,target_direction_thresh_2,target_pct_change_2,target_vol_adj_2,target_direction_3,target_direction_thresh_3,target_pct_change_3,target_vol_adj_3,target_direction_4,target_direction_thresh_4,target_pct_change_4,target_vol_adj_4,target_direction_8,target_direction_thresh_8,target_pct_change_8,target_vol_adj_8,target_direction_12,target_direction_thresh_12,target_pct_change_12,target_vol_adj_12,target_direction_24,target_direction_thresh_24,target_pct_change_24,target_vol_adj_24,target_signal,target_leverage_4,target_leverage_8,target_leverage_12,target_leverage_24,volume_sma,rsi,bb_lower,kc_lower,close,vwap,ema9,bb_middle,kc_middle,ema21,bb_upper,kc_upper,ema50,ema100,volume_ratio,atr,future_return_96,future_return_48,future_return_24,pct_change_24h,reshaped,original_features,reshaped_features,lookback
2025-03-25 05:00:00,1,0,0.0787909175560384,0.1047021841099043,0,0,-0.1146049709906346,-0.153629786051419,1,1,0.5300479908315885,0.7175912872443704,1,1,2.327913473246902,3.079912568587825,1,1,3.5599169113960305,4.712540539402111,1,1,3.853592149559484,5.043284608266602,1,1,2.3565647159945504,3.1311421669252453,0,0.0,0.0,0.0,0.0,9130.367234398,35.25754884547071,138.50772139308515,137.02490756384904,139.06,138.93,140.2362291818542,141.6095,140.18290756384903,140.10939040716315,144.71127860691485,143.34090756384902,137.41852129752107,134.55211341700831,0.7835065439875126,1.3978571428571382,-0.075147418380555,0.0031641018265495,0.0246656119660577,-0.0010057471264366,True,20,20,60
2025-03-25 06:00:00,0,0,-0.1932436301173849,-0.2613382343237845,1,0,0.4509018036072111,0.6162291558656385,1,1,2.247351846550254,2.9689882164578925,1,1,1.961064987117098,2.586958648820773,1,1,4.766676209561979,6.280240598491087,1,1,3.943601488691663,5.146891115151817,1,1,3.170626968222164,4.217622448121824,0,0.0,0.0,0.0,0.0,8843.665535426499,32.9346826126956,138.45543896036963,136.93934493872055,139.61,139.36,140.1109833454834,141.59449999999998,140.12834493872057,140.06399127923922,144.73356103963033,143.31734493872054,137.50446163879474,134.65226958696854,0.4304112565024125,1.3978571428571402,-0.0846644223193181,-0.0077358355418667,0.0235656471599454,0.0116666666666667,True,20,20,60
2025-03-25 07:00:00,1,1,0.6453926138400902,0.8914463400783039,1,1,2.445320903549677,3.1936024456100625,1,1,2.1584797418429686,2.824257314729312,1,1,1.9863750448189392,2.6291633521407145,1,1,4.238078164216583,5.538289299773229,1,1,4.058802438149893,5.276481281818076,1,1,3.628540695589819,4.829600813811848,0,0.0,0.0,0.0,0.0,7807.602779949999,38.08049535603714,138.2427047818988,137.0744549445567,139.72,139.66,140.0327866763867,141.488,140.08945494455668,140.0327193447629,144.7332952181012,143.10445494455666,137.5913454960969,134.75262068425627,0.5065075668725716,1.3314285714285703,-0.0916117950186086,-0.0100200400801603,0.0317062696822216,0.0132714482558562,True,20,20,60
2025-03-25 08:00:00,1,1,1.788386177413623,2.2149844933217984,1,1,1.5033843961524858,1.9165921198659344,1,1,1.3323833273957997,1.739342962519142,1,1,1.2183826148913488,1.6098310825157818,1,1,2.914143213395086,3.775508021031991,1,1,2.992518703241908,3.8732312330957823,1,1,2.914143213395086,3.8791510366565007,0,0.0,0.0,0.0,0.0,7168.184154250501,34.482758620689694,138.05010915190925,137.17755447364652,139.45,139.78,139.9162293411094,141.293,140.02855447364652,139.97974485887536,144.53589084809076,142.87955447364652,137.6642339080147,134.84563809644922,0.2323209897491988,1.3514285714285723,-0.0942990319110791,-0.0038723556830404,0.0362854069558982,0.0038151454074286,True,20,20,60
2025-03-25 09:00:00,0,0,-0.2799944001120017,-0.3677331471442229,0,0,-0.4479910401792066,-0.601057185228285,0,-1,-0.5599888002240034,-0.7567580863735607,1,1,1.2039759204815894,1.5946921592444143,1,1,1.4909701805963846,1.9407692525363505,1,1,0.5739885202295906,0.7456610114846718,1,1,1.0149797004059835,1.3645535907664192,0,0.0,0.0,0.0,0.0,6481.7832433615,40.618955512572576,138.01076936817503,137.25716833329923,140.35,140.12,140.0029834728875,141.151,140.05916833329923,140.01340441715942,144.291230631825,142.86116833329922,137.76955806848468,134.95463536186608,0.3955096628008335,1.3300000000000003,-0.0963306020662628,-0.013608835055219,0.0291414321339509,0.0005703286518854,True,20,20,60
2025-03-25 10:00:00,0,0,-0.1684683419907406,-0.2310094164122251,0,0,-0.280780569984561,-0.3850145549234345,1,1,1.4881370209181557,1.976669825151952,1,1,2.75164958584865,3.6209084852541022,1,1,1.944405447143045,2.524262522419296,1,1,0.6949319107117652,0.9033420662556414,1,1,1.705741962656169,2.310282828181318,0,0.0,0.0,0.0,0.0,6354.8210656235005,50.0,138.19965888734052,137.38291420631833,142.86,142.38,140.57438677831,141.0755,140.32591420631834,140.2721858337813,143.9513411126595,143.26891420631836,137.9691832422696,135.11117723588853,0.842708890742712,1.4971428571428598,-0.1139577208455832,-0.0326893462130758,0.0101497970040598,0.021084983203488,True,20,20,60
2025-03-25 11:00:00,0,0,-0.1125017578399638,-0.1542652544497311,1,1,1.659400928139512,2.1701709802928115,1,1,2.92504570383912,3.7979986445187865,1,1,2.207846997609348,2.8490234767458293,1,1,2.0320630009844005,2.618368603891877,1,1,0.9914217409647,1.285664392798472,1,1,1.6734636478694949,2.279313728173066,0,0.0,0.0,0.0,0.0,5809.9497771355,52.568493150684894,138.1958073745813,137.70916047238327,142.46,142.57,140.95150942264803,141.0795,140.52916047238327,140.47107803071026,143.96319262541869,143.34916047238326,138.14529370335708,135.2566984787422,0.7259587933580226,1.470714285714288,-0.1172960831110487,-0.0328513266881932,0.0170574196265616,0.0043003172365174,True,20,20,60
2025-03-25 12:00:00,1,1,1.7738983528086796,2.217354892973732,1,1,3.040968604814862,3.8464335234908007,1,1,2.3229621286780318,2.93981340330396,1,1,1.6753484443192983,2.129128829708248,1,1,1.7527805152752425,2.245703617356533,1,1,1.4782486273405564,1.914144773431956,1,1,2.069548078276783,2.8347272515106043,0,0.0,0.0,0.0,0.0,5919.454620928,53.530950305143854,138.28224219032268,137.8461928083468,142.22,142.0,141.20520753811843,141.0245,140.69019280834678,140.63007093700932,143.7667578096773,143.53419280834677,138.305086107147,135.39458563757898,1.301412083909563,1.489285714285718,-0.1194628041063141,-0.0338208409506398,0.0167346364786948,-0.0078828043250784,True,20,20,60
2025-03-25 13:00:00,1,1,1.2449854751694445,1.5937197480670868,1,0,0.5394937059067652,0.6870284394848004,0,0,-0.0968322036243012,-0.1237485392397022,1,0,0.2835800248997071,0.3628738080019013,0,-1,-0.622492737584732,-0.8009816219570235,0,0,-0.2974131968460415,-0.3898385769386344,0,-1,-2.23405726933187,-3.0720721436547795,0,0.0,0.0,0.0,0.0,5732.15571454,58.03402646502828,138.28139457346458,137.98265063612328,142.06,141.9,141.37616603049474,141.026,140.82065063612328,140.7600644881903,143.77060542653544,143.65865063612327,138.45233763235692,135.52657404079525,0.7630807474323851,1.4978571428571468,-0.1167112487681261,-0.0317471490919328,0.0206954807827677,-0.0078916125427752,True,20,20,60
2025-03-25 14:00:00,0,-1,-0.6968165049870076,-0.8827934820950745,0,-1,-1.3253176663478603,-1.6922986482151676,0,-1,-0.949583276403871,-1.214946525158263,0,-1,-0.7856264517010559,-1.0063881585297447,0,-1,-2.001639568247033,-2.5862042838659165,0,-1,-2.541330782893837,-3.353109062266966,0,-1,-4.310698182811861,-5.958372910350495,0,0.0,0.0,0.0,0.0,7437.686703593,64.30868167202567,138.01409851707507,137.96168390887345,144.58,144.97,142.0169328243958,141.134,141.17868390887344,141.10733135290027,144.25390148292496,144.39568390887345,138.69263811736252,135.70584980236364,4.999397620466746,1.7335714285714334,-0.1240835523585558,-0.051943560658459,-0.0223405726933186,0.0014545958301586,True,20,20,60
