timestamp,target_direction_1,target_direction_thresh_1,target_pct_change_1,target_vol_adj_1,target_direction_2,target_direction_thresh_2,target_pct_change_2,target_vol_adj_2,target_direction_3,target_direction_thresh_3,target_pct_change_3,target_vol_adj_3,target_direction_4,target_direction_thresh_4,target_pct_change_4,target_vol_adj_4,target_direction_8,target_direction_thresh_8,target_pct_change_8,target_vol_adj_8,target_direction_12,target_direction_thresh_12,target_pct_change_12,target_vol_adj_12,target_direction_24,target_direction_thresh_24,target_pct_change_24,target_vol_adj_24,target_signal,target_leverage_4,target_leverage_8,target_leverage_12,target_leverage_24,volume_sma,bb_lower,kc_lower,close,vwap,ema9,bb_middle,kc_middle,ema21,kc_upper,ema50,bb_upper,ema100,rsi,atr,volume_ratio,future_return_96,future_return_48,bb_width,future_return_24,reshaped,original_features,reshaped_features,lookback
2025-03-25 05:00:00,1,0,0.3406523150204031,0.7374555271689632,1,0,0.3157622461578908,0.6845212110171084,1,1,0.6056583423214066,1.3658416028580556,1,1,1.0995553950444237,2.5116440158236664,1,1,0.6734959809859262,1.564362449943374,1,1,1.3665135846091525,3.1638486281513107,1,1,0.4968252961186054,1.1461852628147664,0,0.0,0.0,0.0,0.0,691.9234359364999,2050.449984692301,2036.915623854474,2045.98,2044.63,2065.4225187705583,2080.3065,2066.981623854474,2066.4476989707605,2097.0476238544743,2045.9690173696,2110.1630153076994,2021.3423822221007,36.06681852695514,15.420714285714372,0.4139372977479044,-0.074223599448675,-0.0071359446328898,0.0287039581020385,0.0034311185837594,True,20,20,60
2025-03-25 06:00:00,0,0,-0.024805568120456,-0.0538491606860346,1,0,0.2641063429296977,0.6082822606158663,1,1,0.7563266358299497,1.7599861879353764,1,1,0.721793393936748,1.688569803929984,1,1,0.9795767489141644,2.284111825432681,1,1,0.3929980204184059,0.9162794509557388,1,1,0.5929017164480399,1.3721591650046037,0,0.0,0.0,0.0,0.0,678.4060313405,2045.878233307947,2035.1650406302383,2049.01,2047.13,2062.140015016447,2078.038,2065.2700406302383,2064.8624536097823,2095.3750406302383,2046.0882715904,2110.197766692052,2021.8902558414652,31.46423080401577,15.03928571428576,0.4938449657913577,-0.0786672588225534,-0.0127183371481838,0.0309520487036834,0.004968252961186,True,20,20,60
2025-03-25 07:00:00,1,0,0.2889835950726864,0.7087819471700595,1,1,0.7813260163076238,1.8859987171914327,1,1,0.7467842061221666,1.7934520011934825,1,1,0.6548348804172279,1.5689516162008834,1,1,0.610076478486775,1.4310228463429404,1,1,1.0158211220736817,2.3778790438196737,1,1,0.7224589876817049,1.677065300067572,0,0.0,0.0,0.0,0.0,657.8016617430001,2043.5126970689644,2034.0512272368824,2055.99,2055.19,2060.910012013157,2076.0995000000003,2064.3862272368824,2064.055866917984,2094.7212272368824,2046.4765746652856,2108.686302931036,2022.5654983000504,39.39079592606563,14.210000000000036,0.2957705164874044,-0.0849031366884078,-0.0159290658028491,0.0313923325264862,0.0059290171644803,True,20,20,60
2025-03-25 08:00:00,1,1,0.4909237321846053,1.1665453908141727,1,1,0.4564814545313354,1.084967103434125,1,1,0.3647970816233461,0.8673492820167416,0,0,-0.1280670605698922,-0.3037669056878371,1,1,0.3643119791211768,0.8497361622482709,1,0,0.1838538483181478,0.426769724782666,1,0,0.1523221856778275,0.3528263171665806,0,0.0,0.0,0.0,0.0,620.236007539,2041.339009058416,2033.128015119084,2055.48,2058.02,2059.824009610526,2074.28,2063.538015119084,2063.2762426527124,2093.948015119084,2046.829650168608,2107.220990941584,2023.21727061094,32.905230450543826,14.368571428571451,0.279665192735675,-0.0853280012454512,-0.0135004962344561,0.0317613735287269,0.007224589876817,True,20,20,60
2025-03-25 09:00:00,0,0,-0.0342740183631518,-0.0814824916112762,0,0,-0.1255104897805453,-0.2985040824775596,0,-1,-0.6159668652306866,-1.4601556324838134,0,-1,-0.4214256060708467,-0.9956533868867028,1,0,0.2640547611921688,0.6155396884954082,0,-1,-0.3485329754675169,-0.8043379610041769,0,-1,-0.4050126958687678,-0.938419352779028,0,0.0,0.0,0.0,0.0,584.1981336590001,2040.062446315661,2033.5092993934568,2061.42,2059.87,2060.1432076884207,2073.1585,2063.336299393457,2063.107493320648,2093.163299393457,2047.401820750231,2106.254553684339,2023.9737603018127,29.95242214532867,13.796428571428578,0.1076432483550287,-0.0864404148596599,-0.0172647980518284,0.0319281460480122,0.0015232218567782,True,20,20,60
2025-03-25 10:00:00,0,0,-0.0912677525436599,-0.2171494079455932,0,-1,-0.5818922847360588,-1.377390298977619,0,-1,-0.3872843256085715,-0.9130970073843327,1,0,0.2559360256515591,0.5948230217544961,0,0,-0.3264391572461169,-0.7598142324645097,0,-1,-0.3539643524577067,-0.813014853470339,1,0,0.1385917723811172,0.3207879238906382,0,0.0,0.0,0.0,0.0,487.1290759215,2039.80196291397,2033.884604213128,2071.54,2068.47,2062.4225661507367,2072.6185,2064.117604213128,2063.8740848369525,2094.350604213128,2048.348416014928,2105.435037086029,2024.9156660384103,40.19128586609982,14.046428571428578,0.3656400904279069,-0.0940556301109318,-0.0204389005281094,0.0316667414538945,-0.0040501269586876,True,20,20,60
2025-03-25 11:00:00,0,-1,-0.4910727232302461,-1.1564975591653517,0,0,-0.2962869875395182,-0.6954018639708793,1,1,0.34752095275842,0.801483812645426,0,0,-0.0444672150956563,-0.1021593797292862,1,1,0.358637756532334,0.82997066792399,0,0,-0.1251848772801601,-0.2862980358007464,1,0,0.0546173402805354,0.1262703071550414,0,0.0,0.0,0.0,0.0,459.024404992,2039.5247342101125,2035.7498800023536,2070.83,2069.45,2064.1040529205893,2072.2095,2064.7568800023537,2064.506440760866,2093.7638800023537,2049.2300467594405,2104.8942657898874,2025.8248607703235,41.8177797434762,14.012142857142862,0.3478597914478705,-0.0982939207950435,-0.0220539590405778,0.0315458121294082,0.0013859177238111,True,20,20,60
2025-03-25 12:00:00,1,0,0.1957469957936129,0.4578758499414307,1,1,0.8427321034787547,1.9236719694142133,1,1,0.448809489114902,1.0227557416495712,1,1,0.4930104236489394,1.1310838807044792,1,0,0.312320889070218,0.7173081568692176,1,1,0.6013269994851151,1.3704762845585108,1,0,0.3001777751872388,0.6940841758385061,0,0.0,0.0,0.0,0.0,464.1564990925,2039.545683546687,2036.9112723830815,2068.94,2069.9,2065.071242336472,2071.1565,2065.155272383082,2064.9094916007875,2093.399272383082,2050.002986102208,2102.767316453313,2026.678625903584,41.47384581642731,13.796428571428578,1.0422957805522135,-0.1090461782361983,-0.025128809921989,0.0305247975740249,0.0005461734028053,True,20,20,60
2025-03-25 13:00:00,1,1,0.6457211279759243,1.4392240666636564,1,0,0.2525680988554465,0.5682326894445876,1,0,0.2966826804213617,0.6763353759552974,1,1,0.6883813826770412,1.5835911894993715,1,0,0.0732011188621452,0.1669953785415165,1,1,0.5390704912231321,1.2376477247126982,0,-1,-1.6380568253983627,-3.742756009816089,0,0.0,0.0,0.0,0.0,411.7792098805,2038.294986975804,2037.5101035846933,2058.78,2066.33,2063.8129938691773,2070.171,2064.5481035846933,2064.3522650916248,2091.5861035846933,2050.347182725651,2102.047013024196,2027.3142966777705,40.43622367154923,13.962142857142876,1.11084503244529,-0.1012249973285149,-0.020016708924703,0.0307955362375339,0.0030017777518724,True,20,20,60
2025-03-25 14:00:00,0,-1,-0.3906306445164863,-0.8871901827829676,0,0,-0.3467990925423876,-0.79969627009309,1,0,0.0423865557551843,0.098563729518442,0,-1,-0.5808884800084746,-1.354090651885191,0,-1,-0.6083434081680872,-1.3891575353392889,0,-1,-1.317836551661029,-3.017261413470117,0,-1,-2.7902876987471914,-6.321749301318456,0,0.0,0.0,0.0,0.0,380.21870801500006,2038.066615699606,2036.1565699099608,2062.81,2065.47,2063.612395095342,2068.887,2064.3825699099607,2064.212059174205,2092.608569909961,2050.835920657978,2099.7073843003936,2028.017181892072,39.68821045794069,14.92428571428575,0.991912982080622,-0.0996601722892558,-0.0286647825054172,0.029794168845755,-0.0163805682539835,True,20,20,60
