timestamp,open,high,low,close,vwap,volume,count,rsi,ema9,ema21,ema50,ema100,atr,pct_change,pct_change_8h,pct_change_24h,bb_middle,bb_upper,bb_lower,bb_width,kc_middle,kc_upper,kc_lower,kc_width,volatility_1h,volatility_4h,volatility_1d,volume_sma,volume_ratio,adx,bull_market,bear_market,neutral_market,market_regime,future_return_1,future_return_2,future_return_3,future_return_4,future_return_6,future_return_8,future_return_12,future_return_24,future_return_48,future_return_96,arima_prediction,arima_forecast,arima_strength,adaptive_prediction,adaptive_strength,adaptive_volatility,strategy_agreement,strategy_combined_strength,arima_dominance,adaptive_dominance,dominant_strategy,combined_prediction,leverage_opportunity,target_direction_1,target_direction_thresh_1,target_pct_change_1,target_vol_adj_1,target_direction_2,target_direction_thresh_2,target_pct_change_2,target_vol_adj_2,target_direction_3,target_direction_thresh_3,target_pct_change_3,target_vol_adj_3,target_direction_4,target_direction_thresh_4,target_pct_change_4,target_vol_adj_4,target_direction_8,target_direction_thresh_8,target_pct_change_8,target_vol_adj_8,target_direction_12,target_direction_thresh_12,target_pct_change_12,target_vol_adj_12,target_direction_24,target_direction_thresh_24,target_pct_change_24,target_vol_adj_24,target_signal,target_leverage_4,target_leverage_8,target_leverage_12,target_leverage_24
2025-03-22 19:00:00,4.5177,4.5315,4.5173,4.5199,4.5237,2578.33465713,61,56.79367361610347,4.493180053382292,4.484591423472553,4.4741572365751265,4.453878012186261,0.033478571428571434,-0.0004422919569206929,0.012477039559159575,0.0017952923445188063,4.478554999999999,4.529143847325106,4.427966152674892,0.022591593639067636,4.484987252001106,4.548037252001106,4.421937252001105,0.028116021944931475,0.006042132901870444,0.007070108518425152,0.007364051685791205,12091.171077294,0.2132411030038151,50,1,0,0,1,-0.008650633863580892,-0.008540011947166914,-0.013186132436558307,-0.01708002389433383,-0.014181729684284994,-0.0147569636496383,-0.01336312750282076,-0.011947166972720469,0.037434456514524594,0.03440341600477881,0,4.5199,0,0,0,0,0,0,0,0,adaptive,0,0,0,-1,-0.8650633863580935,-1.5632058050680375,0,-1,-0.8540011947166917,-1.5806057386011492,0,-1,-1.3186132436558256,-2.451171880862118,0,-1,-1.7080023894333833,-3.193293576335586,0,-1,-1.4756963649638264,-2.842781937389863,0,-1,-1.3363127502820764,-2.6248513547707746,0,-1,-1.19471669727205,-2.472110312142957,0,0.0,0.0,0.0,0.0
2025-03-22 20:00:00,4.5295,4.5307,4.4808,4.4808,4.4981,11921.67579869,76,44.00702987697723,4.4907040427058345,4.484246748611412,4.474417737101593,4.45441112085584,0.03407857142857144,-0.008650633863580892,0.002730161571856904,-0.020483112908514456,4.47797,4.528148800304499,4.427791199695501,0.02241140530396539,4.4845884660962385,4.550338466096239,4.418838466096238,0.02932264598951472,0.005533905923030028,0.0071289952976011095,0.007387629096655648,12543.385817017,0.950435231173105,50,1,0,0,1,0.00011158721656845394,-0.004575075879307278,-0.008502945902517434,-0.006583645777539893,-0.007096946973754847,-0.012765577575432951,-0.010957864667023753,-0.0009819675058025945,0.041889841099803427,0.04929923227994992,0,4.4808,0,0,0,0,0,0,0,0,adaptive,0,0,1,0,0.011158721656840806,0.0211656389152452,0,-1,-0.4575075879307307,-0.8628425946136336,0,-1,-0.8502945902517413,-1.608278051913297,0,-1,-0.6583645777539842,-1.2458085676546824,0,-1,-1.276557757543294,-2.4870537357783147,0,-1,-1.0957864667023778,-2.181146348878009,0,0,-0.09819675058026253,-0.2049125098012523,0,0.0,0.0,0.0,0.0
2025-03-22 21:00:00,4.475,4.4899,4.4628,4.4813,4.4764,3992.01470929,65,51.47420147420149,4.488823234164668,4.48397886237401,4.474687629764276,4.454943573908199,0.033100000000000004,0.00011158721656845394,0.004415456338533241,-0.01171047988708529,4.479385,4.528175908342035,4.430594091657964,0.021784646036023116,4.484275278848978,4.5480752788489776,4.420475278848978,0.02845498816762016,0.00527209299068378,0.007122755015149719,0.00738075788805975,12459.911372287,0.3203886921835521,50,1,0,0,1,-0.004686140182536325,-0.00861357195456669,-0.006694485975051956,-0.005690313078794085,-0.006270501863298694,-0.01120210653158682,-0.009907839243076921,-0.0017628813067637195,0.04795483453462168,0.05252939995090711,0,4.4813,0,0,0,0,0,0,0,0,adaptive,0,0,0,-1,-0.4686140182536297,-0.8787776648733752,0,-1,-0.8613571954566699,-1.6269106026179292,0,-1,-0.6694485975051938,-1.2657811103334091,0,-1,-0.5690313078794117,-1.0924980220936824,0,-1,-1.120210653158687,-2.1938106393729777,0,-1,-0.9907839243076884,-1.9950342130655492,0,0,-0.1762881306763716,-0.3701618018549316,0,0.0,0.0,0.0,0.0
2025-03-22 22:00:00,4.4763,4.4795,4.4593,4.4603,4.4687,10075.40566757,70,48.495370370370445,4.4831185873317345,4.481826238521827,4.474123408989206,4.455049641751601,0.033121428571428586,-0.004686140182536325,0.007886292764496039,-0.014254773691654843,4.479165,4.5282733560260136,4.430056643973987,0.021927460152065613,4.481991918958599,4.544831918958598,4.419151918958599,0.028041103659374997,0.005332566324624935,0.007009786454778859,0.007383609886947683,12592.0585545895,0.8001396772331367,50,1,0,0,1,-0.003945922919982969,-0.0020178014931732102,-0.0010089007465865496,-0.0025334618747618887,-0.008228146088828048,-0.002802502073851576,-0.0012106808959038151,0.003833822837028933,0.04901015626751559,0.0533147994529517,0,4.4603,0,0,0,0,0,0,0,0,adaptive,0,0,0,-1,-0.39459229199829243,-0.7507030811606132,0,0,-0.2017801493173181,-0.38310669916757256,0,0,-0.10089007465865905,-0.1952513399161655,0,0,-0.25334618747618565,-0.4956051544355511,0,0,-0.28025020738515743,-0.5551195426008346,0,0,-0.12106808959038293,-0.246823650450011,1,1,0.3833822837028925,0.8112361782720733,0,0.0,0.0,0.0,0.0
2025-03-22 23:00:00,4.4551,4.4551,4.4272,4.4427,4.4432,2992.48695462,122,40.15841584158421,4.475034869865388,4.478269307747116,4.472891118440609,4.454805094390183,0.03224285714285718,-0.003945922919982969,-0.004615419084533889,-0.012184546970539056,4.47839,4.529345910767094,4.427434089232906,0.0227563525137801,4.478249831438733,4.5427298314387325,4.413769831438733,0.02879696418334217,0.0052563030830809826,0.00701244472667648,0.007372522803555014,12638.655913800001,0.2367725630818494,50,0,0,1,0,0.001935759785715696,0.002948657348009087,0.0014180565872103923,0.00236342764535058,-0.0026110248272448455,0.003781484232561194,0.006370000225088379,0.012852544623764617,0.03981812861548151,0.05651968397596052,0,4.4427,0,0,0,0,0,0,0,0,adaptive,0,0,1,0,0.19357597857157802,0.3667889551263172,1,0,0.2948657348009019,0.5756135941263819,1,0,0.1418056587210374,0.28004322262141806,1,0,0.23634276453506894,0.4695544423219557,1,1,0.37814842325612635,0.762066183000252,1,1,0.6370000225088295,1.312341756800457,1,1,1.2852544623764661,2.7385756479258814,0,0.0,0.0,0.0,0.0
2025-03-23 00:00:00,4.4427,4.4661,4.4292,4.4513,4.4528,9314.55542155,143,45.47333608929298,4.4702878958923105,4.475817552497378,4.472044407913526,4.454735686580476,0.03293571428571435,0.001935759785715696,-0.00642842793687648,-0.009170840289371207,4.4773249999999996,4.529662080545238,4.424987919454761,0.023378727496993656,4.47568318082552,4.54098318082552,4.41038318082552,0.029179902759763884,0.005277584721844011,0.0069872805158241735,0.007371312705140149,12487.445046304998,0.7459136266074021,50,0,0,1,0,0.001010940624087464,-0.000516702985644657,0.00042684159683692435,-0.006222901174937512,-0.0007862871520678549,-0.004403208051580343,0.001797227776155319,0.01253566373868309,0.04367263496057339,0.06589086334329308,0,4.4513,0,0,0,0,0,0,0,0,adaptive,0,0,1,0,0.10109406240873836,0.20350349741422724,0,0,-0.05167029856446362,-0.10424193846904699,1,0,0.0426841596836882,0.08619707876137579,0,-1,-0.6222901174937522,-1.249331225364332,0,-1,-0.4403208051580352,-0.8998012522059723,1,0,0.1797227776155282,0.37416502256309586,1,1,1.2535663738683196,2.6904308433574395,0,0.0,0.0,0.0,0.0
2025-03-23 01:00:00,4.4513,4.4666,4.4406,4.4558,4.4567,2515.5981182,104,48.23083403538332,4.467390316713849,4.473997774997616,4.471407372309075,4.4547567620937345,0.033085714285714385,0.001010940624087464,-0.014268964449262178,0.0006287895800582977,4.4760100000000005,4.529157259175742,4.422862740824259,0.023747605200051546,4.473789544556423,4.540159544556423,4.407419544556423,0.029670595515945593,0.004967681818409413,0.006944000509371107,0.007353912209241192,12571.300421517,0.2001064355994794,50,0,0,1,0,-0.0015261008124243247,-0.0005835091341622745,-0.007226536200008904,-0.005543336774541108,0.0008303783832308564,-0.004241662552179282,0.007652946721127485,0.0036581534180171182,0.03842183221868112,0.05895686520938992,0,4.4558,0,0,0,0,0,0,0,0,adaptive,0,0,0,0,-0.15261008124242872,-0.3085617695484238,0,0,-0.05835091341622509,-0.11802252697172791,0,-1,-0.7226536200008878,-1.4495339220675163,0,-1,-0.5543336774541086,-1.107796534494085,0,-1,-0.42416625521792634,-0.8754525519572499,1,1,0.7652946721127424,1.5960816825465267,1,0,0.3658153418017012,0.7864832591320498,0,0.0,0.0,0.0,0.0
2025-03-23 02:00:00,4.4559,4.4563,4.4377,4.449,4.4501,2798.11886869,93,45.913261050875604,4.463712253371079,4.471725249997833,4.470528651826366,4.454642766804749,0.03217857142857149,-0.0015261008124243247,-0.016121541829761776,-0.003516473671243303,4.472715,4.523843250507901,4.421586749492099,0.022862288568755634,4.4714286355510495,4.535508635551049,4.40734863555105,0.028661980419643938,0.0049458518942826785,0.006837585437986323,0.007354864054372722,12356.1439636835,0.22645567071038322,50,0,0,1,0,0.0009440323668239436,-0.00570914812317358,-0.00402337603955949,-0.0002697235333782855,-0.0038885142728701805,0.001326140705776746,0.0042481456507081905,0.012654529107664736,0.04111036187907402,0.06313778377163404,0,4.449,0,0,0,0,0,0,0,0,adaptive,0,0,1,0,0.09440323668240014,0.19101283480834338,0,-1,-0.5709148123173617,-1.140642244627505,0,-1,-0.40233760395594576,-0.8009444209321782,0,0,-0.026972353337825754,-0.054106198594053294,1,0,0.13261407057766825,0.27618503714324033,1,1,0.42481456507081056,0.8903257033905952,1,1,1.2654529107664698,2.7197915385322795,0,0.0,0.0,0.0,0.0
2025-03-23 03:00:00,4.4462,4.4536,4.4329,4.4532,4.4491,6997.24016534,116,48.22784810126582,4.461609802696864,4.470041136361666,4.4698490968527835,4.454614197165051,0.031614285714285754,0.0009440323668239436,-0.0147569636496383,-0.0011215288681530877,4.4716700000000005,4.523528191252672,4.419811808747329,0.023194104776368404,4.4696925750223775,4.531762575022378,4.407622575022377,0.027773722222803898,0.004942245727996317,0.006810607068082562,0.007343957428053479,12352.4258746795,0.566466881593131,50,0,0,1,0,-0.006646905595975805,-0.004962723434833394,-0.0012126111560225583,0.001414713015359892,-0.0036602892302165513,0.0039971256624451446,-0.0005613940537140261,0.02135542980328764,0.03247103206682844,0.06390909907482256,0,4.4532,0,0,0,0,0,0,0,0,adaptive,0,0,0,-1,-0.6646905595975794,-1.3115016735314249,0,-1,-0.4962723434833381,-0.9800370576338813,0,0,-0.12126111560226016,-0.24255360393087666,1,0,0.1414713015359835,0.28925102577527173,1,1,0.39971256624450424,0.8389906627383228,0,0,-0.05613940537140714,-0.11877651896430978,1,1,2.1355429803287618,4.574761025412218,0,0.0,0.0,0.0,0.0
2025-03-23 04:00:00,4.4542,4.455,4.4172,4.4236,4.4368,7083.77503139,116,49.609375000000135,4.454007842157491,4.465819214874242,4.468035406780126,4.454000054646931,0.031114285714285712,-0.006646905595975805,-0.012765577575432951,-0.010955596297455461,4.469445,4.5255895680926885,4.413300431907312,0.02512373151149111,4.465302805972628,4.528982805972627,4.401622805972628,0.02852214184212711,0.005068164021535674,0.006836978518589191,0.007361345331364933,12559.4504575045,0.5640195051016198,50,0,1,0,-1,0.0016954516683242993,0.005470657383126687,0.008115561985712949,0.0018310878017904209,0.007075684962474016,0.008070349941224242,0.006510534406365842,0.044285197576634294,0.042386291708111035,0.06788588479971058,0,4.4236,0,0,0,0,0,0,0,0,adaptive,0,0,1,0,0.16954516683243048,0.33510526035101557,1,1,0.5470657383126765,1.101855946691328,1,1,0.8115561985712952,1.6795861514975043,1,0,0.18310878017903456,0.3809938583231105,1,1,0.8070349941224205,1.7118288468997152,1,1,0.6510534406365741,1.3957087430927317,1,1,4.428519757663441,9.420487631066726,0,0.0,0.0,0.0,0.0
2025-03-23 05:00:00,4.424,4.4311,4.4049,4.4311,4.4186,3874.31639711,91,41.949999999999754,4.449426273725993,4.462662922612947,4.466586959455414,4.45354658821828,0.029678571428571412,0.0016954516683242993,-0.01120210653158682,-0.011378594855090296,4.466379999999999,4.523923634702158,4.40883636529784,0.02576746031558407,4.462045395879996,4.523805395879996,4.400285395879997,0.02768237188130149,0.005059460023242714,0.006816556867322575,0.007361891914363958,12474.808715417,0.3105712067810646,50,0,1,0,-1,0.003768815869648723,0.006409243754372573,0.00013540655819110903,0.0013089300625126477,0.009004536119699535,0.013269842702714918,-0.004694094017286821,0.0444133510866378,0.041276432488546844,0.055742366455281855,0,4.4311,0,0,0,0,0,0,0,0,adaptive,0,0,1,1,0.3768815869648656,0.773814915550105,1,1,0.6409243754372599,1.3584395009088583,1,0,0.01354065581910537,0.028677969466285376,1,0,0.13089300625126504,0.2793107229596069,1,1,1.3269842702714842,2.829218364216204,0,-1,-0.4694094017286788,-1.021008008427314,1,1,4.441335108663775,9.381476968378877,0,0.0,0.0,0.0,0.0
2025-03-23 06:00:00,4.4311,4.4478,4.4168,4.4478,4.4338,4559.9124462,98,41.920960480239934,4.4491010189807945,4.461311747829952,4.465850215947359,4.453432794392175,0.030057142857142782,0.003768815869648723,-0.002802502073851576,-0.014861901703249192,4.46511,4.523138990939636,4.407081009060365,0.02599218874322712,4.460688691510473,4.522828691510473,4.398548691510473,0.027861168665844975,0.0048704358030749574,0.006777593147904192,0.007351245700908709,12263.742743983,0.3718206212729996,50,0,1,0,-1,0.0026305139619586804,-0.0036197670758576495,-0.0024506497594316556,0.001596294797427955,0.002585547911326813,0.004519088088493328,-0.005868069607446236,0.0645037996312785,0.038918116821799575,0.05355456630244171,0,4.4478,0,0,0,0,0,0,0,0,adaptive,0,0,1,0,0.2630513961958781,0.5761406060704488,0,-1,-0.36197670758576783,-0.7789107914472272,0,0,-0.24506497594317087,-0.5298812899962707,1,0,0.1596294797428016,0.3456529799900541,1,1,0.4519088088493239,0.9687970419858317,0,-1,-0.5868069607446281,-1.2894876731126816,1,1,6.450379963127842,13.341528264776098,0,0.0,0.0,0.0,0.0
2025-03-23 07:00:00,4.4465,4.4809,4.4447,4.4595,4.4644,3505.11639307,100,32.26371061843629,4.451180815184635,4.461147043481774,4.465601187870993,4.453552937077479,0.028978571428571392,0.0026305139619586804,0.003781484232561194,-0.0032632261236895665,4.464875,4.52295755014699,4.40679244985301,0.026017548149495754,4.46057548279519,4.52394548279519,4.39720548279519,0.028413374123775408,0.004565749982283195,0.006760614312269027,0.0073526902315808945,9679.792290964,0.36210657085503734,50,0,1,0,-1,-0.006233882722278317,-0.005067832716672438,-0.001031505774189867,0.0025787644354748895,0.006816907725081034,-0.001973315394102504,0.001435138468438124,0.05677766565758491,0.034353627088238525,0.04841349927121863,0,4.4595,0,0,0,0,0,0,0,0,adaptive,0,0,0,-1,-0.6233882722278292,-1.318312671806236,0,-1,-0.5067832716672411,-1.088807484534974,0,0,-0.10315057741899175,-0.22251424925771135,1,0,0.25787644354747935,0.5560722786411991,0,0,-0.19733153941024598,-0.42489578878910517,1,0,0.14351384684382068,0.3137217882389223,1,1,5.677766565758485,11.46000694103081,0,0.0,0.0,0.0,0.0
