datetime,timestamp,open,high,low,close,vwap,volume,count
2025-03-16 22:00:00,1742162400.0,82765.8,82830.0,82129.0,82129.1,82390.5,77.83785146,1630.0
2025-03-16 23:00:00,1742166000.0,82129.1,82621.4,82009.8,82599.9,82230.0,76.40359403,1039.0
2025-03-17 00:00:00,1742169600.0,82600.0,83096.3,82573.7,83061.0,82796.3,112.91843033,889.0
2025-03-17 01:00:00,1742173200.0,83061.0,83329.1,82830.0,83264.9,83105.1,16.41272427,772.0
2025-03-17 02:00:00,1742176800.0,83264.9,83304.0,82971.5,83215.6,83177.9,17.0580584,474.0
2025-03-17 03:00:00,1742180400.0,83215.6,83720.0,83215.6,83702.4,83524.2,13.98988665,600.0
2025-03-17 04:00:00,1742184000.0,83702.4,83838.8,83537.5,83566.3,83680.8,18.49014735,566.0
2025-03-17 05:00:00,1742187600.0,83566.3,83566.3,83129.2,83132.4,83347.9,5.10407386,540.0
2025-03-17 06:00:00,1742191200.0,83132.4,83276.4,82697.2,83165.1,82870.4,104.86607684,843.0
2025-03-17 07:00:00,1742194800.0,83165.2,83573.6,83165.1,83566.1,83389.9,32.8567344,555.0
2025-03-17 08:00:00,1742198400.0,83564.0,83659.7,83228.9,83567.8,83463.1,24.43955348,553.0
2025-03-17 09:00:00,1742202000.0,83551.3,83709.9,83450.1,83619.9,83542.7,19.63387505,468.0
2025-03-17 10:00:00,1742205600.0,83620.0,83620.0,83270.0,83341.1,83437.2,29.2738156,485.0
2025-03-17 11:00:00,1742209200.0,83341.1,83620.0,83250.0,83527.6,83433.0,43.80376092,625.0
2025-03-17 12:00:00,1742212800.0,83527.6,83931.1,83033.2,83097.1,83428.1,65.12360313,1567.0
2025-03-17 13:00:00,1742216400.0,83097.1,83710.1,82840.7,83074.6,83167.5,79.23532131,1572.0
2025-03-17 14:00:00,1742220000.0,83046.7,83289.1,82500.0,82898.9,82917.4,102.93249224,1634.0
2025-03-17 15:00:00,1742223600.0,82903.1,83666.0,82751.3,83517.9,83427.5,39.42471083,1122.0
2025-03-17 16:00:00,1742227200.0,83518.0,83840.3,83123.0,83418.8,83541.1,49.42452754,1251.0
2025-03-17 17:00:00,1742230800.0,83418.8,84300.0,83399.7,84160.0,83909.0,256.57682991,1760.0
2025-03-17 18:00:00,1742234400.0,84160.0,84555.0,84006.4,84503.0,84331.3,55.9182068,1277.0
2025-03-17 19:00:00,1742238000.0,84503.1,84700.0,84311.0,84469.9,84506.0,60.12379626,1199.0
